created_at;operation_id;company_code;amount;amount_usd;company_type;client;company_name;status;external_provider_id;external_client_id AS external_client_user_id;country_code
2025-03-03 06:00:26.446;0024d297-5486-493d-906a-32b549cc4de0;AR-R-00001;1000;0.81999999999999995;RECHARGE;Ualá;CLARO;confirmed;33687309109;378d0251-b35d-45a1-975d-0a2ad4aed658;AR
2025-03-02 16:59:08.068;00251f47-9737-4860-9102-824ab81ec236;AR-R-00006;1500;;RECHARGE;Ualá;MIDE - EDENOR PRE PAGO;confirmed;30655116202;02cf34b0-a40b-4aa1-9a5f-a4c57b9a480e;AR
2025-03-01 15:30:54.719;0026c87d-f29f-45ab-b436-60dac446e944;MX-R-00007;100;4.9800000000000004;RECHARGE;STORI;Unefon;confirmed;MTC081110EL3;b86cfb6d-e8e4-4c42-a001-1d3ff3b7b3d9;MX
2025-03-01 18:11:38.929;0026e65b-ec0b-4e27-b3c0-f3bee2c54529;MX-R-00054;200;9.9600000000000009;RECHARGE;STORI;Telcel Tae;confirmed;MTC081110EL3;9cab55d2-4277-4522-b60c-7dbdcf69e124;MX
2025-03-01 15:14:15.416;002a796a-6150-413f-884f-1ad6c217ac43;MX-R-00052;150;7.4699999999999998;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;GPS110920S7A;6165aadf-97f7-4084-8244-755803e60f45;MX
2025-03-02 17:34:30.144;002b08d7-5b58-4015-9c15-e5167e602bdf;MX-R-00054;100;4.9800000000000004;RECHARGE;STORI;Telcel Tae;confirmed;MTC081110EL3;e39862e1-57ba-4b5d-93ef-ae638c4f948d;MX
2025-03-01 01:55:51.252;002b9113-7046-42c2-8ea8-de833cc79d0c;MX-R-00052;20;1;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;653bcbed-2181-49ee-a858-b969925ab64a;MX
2025-03-03 16:47:18.119;002d77b9-15d0-410e-8587-91f6f3c60dd9;MX-R-00052;10;0.5;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;66a71731-96bc-4261-acf1-614e9ad311d5;MX
2025-03-01 18:51:44.30;002da43f-2f48-4261-a962-1e1c9a6f77c0;MX-R-00052;50;2.4900000000000002;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;64d68770-9b60-49c4-bc18-e17c13f6138c;MX
2025-03-03 12:12:43.127;002e08e1-009b-4e16-84f6-44701b837ec0;MX-R-00008;50;2.4900000000000002;RECHARGE;NUBANK;Movistar;confirmed;MTC081110EL3;6456d7c8-f48f-4961-af5e-c87b74881165;MX
2025-03-03 15:14:16.493;002edb22-e7d7-4b10-9251-70aa76f3261c;AR-R-00001;2000;1.6399999999999999;RECHARGE;Ualá;CLARO;confirmed;33687309109;b27ac821-78db-42be-9ac0-93c86f8eb594;AR
2025-03-03 14:16:20.098;003130ac-84d8-47be-87dc-c90f877e11c4;MX-R-00007;15;0.75;RECHARGE;NUBANK;Unefon;confirmed;MTC081110EL3;64bd283a-b9d5-465a-88c9-7c168e2d29a3;MX
2025-03-03 14:05:52.692;003132d8-cf4b-4f7c-9d88-8c7bbdfccba2;MX-R-00028;50;2.4900000000000002;RECHARGE;NUBANK;Bait;confirmed;MTC081110EL3;66f23559-6835-47d3-924d-32dab39a4cf2;MX
2025-03-01 00:30:14.749;00317342-b0a1-4cee-b86d-122874effd7a;AR-R-00006;5000;;RECHARGE;Ualá;MIDE - EDENOR PRE PAGO;confirmed;30655116202;b8076f36-4858-460b-8826-f7f608fbe76f;AR
2025-03-02 04:40:59.439;0032072f-b465-4cff-99fe-f86d3b386c17;MX-R-00008;100;4.9800000000000004;RECHARGE;NUBANK;Movistar;confirmed;MTC081110EL3;66897c65-4a85-4a61-ba88-482bd6d42442;MX
2025-03-01 14:08:14.983;00328133-736b-47d1-87d3-1a71918880a8;MX-R-00028;60;2.9900000000000002;RECHARGE;STORI;Bait;confirmed;MTC081110EL3;0ee4cc95-dec8-46a7-9d69-180db3b0910c;MX
2025-03-03 06:05:28.708;00328e71-5769-41a7-8218-eb7412b53444;MX-R-00053;30;1.49;RECHARGE;STORI;Telcel Internet;confirmed;MTC081110EL3;591b52ba-efb9-485e-85e9-2939b8c0a6f5;MX
2025-03-03 16:24:09.978;0034f30f-0d40-4b10-a137-c5bca29f386c;MX-R-00052;30;1.49;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;651ca85c-f9d1-4eb1-9caa-9d9b7b621d39;MX
2025-03-01 13:46:31.094;00355e6e-6268-449a-88ab-cbb088471f69;AR-R-00001;500;0.40999999999999998;RECHARGE;Ualá;CLARO;confirmed;33687309109;db48459f-7aa7-4771-9a31-916803419696;AR
